Comment,Designator,Footprint,LCSC Part #
24_MHZ_XTAL_OSCILLATOR,X1,24_MHZ_XTAL_OSCILLATOR,
BUTTON,S1,B3S-100X,
CAPACITOR_0603_10V_0.1UF,C4 C5 C6 C7 C9 C10 C11 C12 C14 C16 C18 C19 C20 C21 C26 C27 C28 C34 C38,0603-CAP,
CAPACITOR_0603_10V_1UF,C13 C39,0603-CAP,
CAPACITOR_0603_10V_4.7NF,C25,0603-CAP,
CAPACITOR_0603_10V_4.7UF,C3 C22 C29,0603-CAP,
CAPACITOR_0603_10V_15PF,C1 C2,0603-CAP,
CAPACITOR_0603_25V_0.1UF,C15,0603-CAP,
CAPACITOR_0603_25V_1.2NF,C17,0603-CAP,
CAPACITOR_0603_25V_10UF,C33,0603-CAP,
CAPACITOR_0805_50V_10UF,C8 C24 C40,0805-CAP,
CONNECTOR-4_FD19_0492_,J7 J9,5051100492,
CONNECTOR-4_μF_S_RA_,J1 J3,MOLEX_MICROFIT_SMD_RIGHTANGLE_04_DUAL,
CONNECTOR-6_μF_S_RA_,J4,MOLEX_MICROFIT_SMD_RIGHTANGLE_06_DUAL,
CONNECTOR-8_μF_S_RA_,J2 J11,MOLEX_MICROFIT_SMD_RIGHTANGLE_08_DUAL,
CONNECTOR-10__,J5 J10,5051101092,
FUSE_HOLDER_MINIBLADESMD,XF1,3588,
LED_0603_BLUE,5V,0603-LED,
LED_0603_GREEN_2V2,3V3 MCU_LED,0603-LED,
LED_0603_ORANGE,24V,0603-LED,
LED_0603_RED,12V,0603-LED,
MCP23S08,U3,SSOP-20,
RE46C100,U5,SOIC-08(NARROW 0.15"),
RESISTOR_0603_0,R15,0603-RES,
RESISTOR_0603_1.5M,R13,0603-RES,
RESISTOR_0603_1K,R2,0603-RES,
RESISTOR_0603_3.3K,R83,0603-RES,
RESISTOR_0603_5.1K,R8 R12 R14 R17 R18,0603-RES,
RESISTOR_0603_10K,R7 R11 R16,0603-RES,
RESISTOR_0603_30,R19 R20,0603-RES,
RESISTOR_0603_41.2K,R3 R4 R5,0603-RES,
RESISTOR_0603_60.4,R36 R60,0603-RES,
RESISTOR_0603_150K,R9,0603-RES,
RESISTOR_0603_180,R21,0603-RES,
RESISTOR_0603_240,R1 R6,0603-RES,
RESISTOR_NETWORK_4_160,RN2 RN4,1206-RES-ARRAY,
SCHOTTKY__15V,D2,DO-214BA,
SN74LXC2T45DCUR,U$6,8-VSSOP,
STM32-LQFP64,U16,STM32-FOOTPRINT,
TCAN1051HQV-Q1,U27,SOIC-08(NARROW 0.15"),
TEST_POINT,BOTS BRB INERTIA NEOPIXELS SPI1_MOSI SPI1_SCK SPI3_MOSI SPI3_SCK TP_3.3V TP_5V TP_12V TP_24V TP_GND,5015,
TVS_DO-214AA_30V,D3 D4 D5 D6,DO-214AA,
USB4110,J8,USB4110,
USBLC6-2SC6,D1,SOT-23-6,
VOLTAGE_REGULATOR_SOT-223_3.3V,U17,SOT-223,
