Designator,Mid X,Mid Y,Layer,Rotation
3V3,62.23,84.84,Top,270
5V0,60.45,84.84,Top,270
A2,65.53,64.26,Top,90
B,60.2,93.47,Top,90
BMS,52.07,93.47,Top,90
BSPD,47.24,93.47,Top,90
B_HI,24.26,24.77,Top,90
B_MIS,29.97,31.12,Top,180
C,55.37,93.47,Top,90
C1,15.37,72.52,Top,180
C2,15.37,74.04,Top,180
C4,65.79,81.79,Top,90
C5,65.79,78.99,Top,270
C6,38.35,67.31,Top,0
C9,45.09,63.75,Top,270
C10,93.98,61.72,Top,180
C11,93.98,60.2,Top,180
C13,9.14,63.5,Top,180
C14,9.14,65.02,Top,180
C15,14.99,40.51,Top,0
C16,14.99,38.99,Top,0
C17,14.99,34.42,Top,180
C18,11.94,21.46,Top,270
C19,37.08,48.9,Top,0
C20,18.41,28.07,Top,180
C21,18.8,80.14,Top,270
C22,42.67,45.34,Top,270
C23,12.95,80.39,Top,270
C24,28.58,50.04,Top,0
C25,93.73,39.88,Top,180
C26,93.73,38.35,Top,180
C27,46.74,88.52,Top,180
C28,46.48,75.44,Top,180
C29,5.84,74.04,Top,180
C30,5.84,72.52,Top,180
CUR,8.38,30.48,Top,270
C_HI,21.97,28.07,Top,0
C_MIS,29.97,24,Top,180
D,50.55,93.47,Top,90
D2,38.73,102.23,Top,270
D3,75.44,103.12,Top,90
D4,42.42,101.6,Top,270
D5,47.24,101.6,Top,270
D6,52.07,101.6,Top,270
D7,56.9,101.6,Top,270
D8,61.72,101.6,Top,270
D9,75.44,99.57,Top,270
D10,79.5,94.49,Top,90
D11,82.8,94.49,Top,90
D12,79.5,90.42,Top,270
D13,82.8,90.42,Top,270
D14,79.5,85.34,Top,90
D15,82.8,85.34,Top,90
D16,79.5,81.28,Top,270
D17,82.8,81.28,Top,270
D18,55.75,47.63,Top,90
E,45.72,93.47,Top,90
ESP,59.94,5.08,Top,180
F,40.89,93.47,Top,90
G,36.07,93.47,Top,90
GPS,53.34,5.08,Top,180
IMD,56.9,93.47,Top,90
K1,81.79,101.35,Top,0
K2,73.15,92.46,Top,180
K3,89.15,92.46,Top,0
K4,73.15,83.31,Top,180
K5,89.15,83.31,Top,0
LATCH,63.25,93.47,Top,270
LTE,46.74,5.08,Top,180
MQTT,50.04,5.08,Top,0
R5,36.07,96.52,Top,270
R6,37.59,96.52,Top,270
R7,39.12,96.52,Top,90
R8,40.89,96.52,Top,270
R9,43.94,96.52,Top,270
R10,42.42,96.52,Top,90
R11,45.72,96.52,Top,270
R12,48.77,96.52,Top,270
R13,47.24,96.52,Top,90
R14,50.55,96.52,Top,270
R15,53.59,96.52,Top,270
R16,52.07,96.52,Top,90
R17,55.37,96.52,Top,270
R18,58.42,96.52,Top,270
R19,56.9,96.52,Top,90
R20,60.2,96.52,Top,270
R21,61.72,96.52,Top,270
R22,63.25,96.52,Top,90
R23,37.59,93.47,Top,270
R24,39.12,93.47,Top,270
R25,48.77,93.47,Top,90
R26,53.59,93.47,Top,90
R27,58.42,93.47,Top,90
R28,61.72,93.47,Top,90
R29,58.67,84.84,Top,270
R30,64.01,84.84,Top,270
R31,67.06,76.71,Top,0
R32,67.06,74.93,Top,0
R33,14.99,35.94,Top,0
R34,14.99,31.24,Top,0
R41,25.78,24.77,Top,90
R44,22.73,24.89,Top,90
R45,14.99,24,Top,180
R46,14.99,25.53,Top,0
R47,27.94,44.58,Top,270
R48,29.97,25.53,Top,180
R49,29.97,29.59,Top,180
R50,14.99,27.05,Top,0
R51,14.99,28.7,Top,0
R52,27.94,47.63,Top,270
R53,17.02,21.97,Top,180
R54,20.19,21.97,Top,180
R55,12.95,76.33,Top,0
R56,18.8,76.33,Top,0
R57,46.74,6.6,Top,180
R58,50.04,6.6,Top,0
R59,53.34,6.6,Top,180
R60,56.64,6.6,Top,180
R61,59.94,6.6,Top,180
R62,26.04,38.61,Top,90
R63,24.51,38.61,Top,90
R64,14.99,37.47,Top,0
R65,58.29,47.37,Top,90
R66,14.99,32.77,Top,0
R67,53.21,47.37,Top,270
R68,22.48,32.38,Top,90
R69,20.96,32.38,Top,90
R135,83.31,61.98,Top,0
R136,74.3,61.98,Top,0
R137,69.47,61.98,Top,0
R138,83.31,63.5,Top,180
R139,74.3,63.5,Top,180
R140,69.47,63.5,Top,180
R150,5.71,68.96,Top,180
R151,5.71,70.48,Top,180
R152,5.33,61.09,Top,180
R153,5.33,63.12,Top,0
RTK,56.64,5.08,Top,180
S1,69.34,101.35,Top,0
SWOK,43.94,93.47,Top,270
T1,15.88,91.19,Top,180
TP1,56.52,85.34,Top,90
TP2,66.17,85.34,Top,270
TP3,4.57,34.8,Top,270
TP4,4.57,39.12,Top,270
TP6,8.38,34.8,Top,270
TP7,8.38,39.12,Top,270
TP8,4.57,26.16,Top,270
TP9,8.38,26.16,Top,270
TP10,28.19,62.61,Top,0
TP11,28.19,65.53,Top,180
TP12,28.19,68.45,Top,0
TP13,4.57,30.48,Top,90
U1,60.45,79.38,Top,90
U2,10.03,71.37,Top,90
U3,19.56,71.37,Top,90
U4,40.77,63.75,Top,90
U6,15.88,62.23,Top,0
U7,14.1,21.34,Top,0
U8,29.21,37.08,Top,270
U9,32.51,37.72,Top,180
U10,29.21,39.62,Top,270
U11,25.65,32.77,Top,270
U12,29.72,27.56,Top,90
U13,25.91,29.08,Top,180
U14,38.35,45.34,Top,90
U15,26.42,21.84,Top,270
U24,19.3,24.77,Top,270
U25,21.97,38.61,Top,0
U26,18.29,38.61,Top,0
U27,18.29,32.13,Top,0
WDOG,42.42,93.47,Top,270
XB1,22.99,11.18,Top,180
C7,26.29,97.16,Bottom,180
C8,26.29,91.95,Bottom,0
C31,61.47,76.71,Bottom,180
C32,16.38,76.45,Bottom,90
C33,22.35,83.69,Bottom,90
C34,20.83,83.69,Bottom,90
C35,24.38,65.91,Bottom,270
C36,19.05,70.23,Bottom,180
C37,5.71,76.45,Bottom,90
C38,23.75,71.63,Bottom,0
C39,22.1,65.02,Bottom,0
C40,19.05,66.93,Bottom,180
C41,11.56,65.79,Bottom,270
C42,6.22,70.23,Bottom,180
C43,10.92,71.76,Bottom,0
C44,9.27,64.9,Bottom,0
C45,6.22,67.06,Bottom,180
C46,18.92,51.18,Bottom,180
C47,23.37,56.52,Bottom,270
C48,24.89,51.82,Bottom,270
C49,18.16,53.47,Bottom,270
C50,20.19,56.52,Bottom,90
C51,11.43,83.69,Bottom,90
C52,9.91,83.69,Bottom,90
C56,5.08,48.39,Bottom,90
C57,5.08,43.31,Bottom,270
C58,86.74,81.41,Bottom,270
C59,87.38,61.72,Bottom,0
C60,93.85,65.41,Bottom,90
C61,86.36,71.88,Bottom,0
C62,93.85,78.99,Bottom,90
C63,61.47,73.53,Bottom,0
C64,61.47,72.01,Bottom,0
C67,16.38,80.77,Bottom,270
C68,5.59,80.77,Bottom,270
C69,37.21,56.64,Bottom,180
C70,5.59,57.28,Bottom,90
C71,10.92,53.09,Bottom,180
C72,6.22,51.56,Bottom,180
C73,8,58.17,Bottom,180
C74,10.92,56.13,Bottom,0
C75,58.8,59.18,Bottom,270
C76,53.59,63.5,Bottom,180
C77,58.8,65.53,Bottom,270
C78,56.52,58.17,Bottom,0
C79,53.59,60.33,Bottom,180
C80,41.15,63.63,Bottom,90
C81,42.67,58.93,Bottom,270
C82,35.94,60.58,Bottom,270
C83,38.1,63.5,Bottom,90
D19,77.85,86.36,Bottom,0
D20,72.77,86.36,Bottom,180
D21,89.15,89.92,Bottom,90
D22,85.6,89.92,Bottom,0
D23,37.47,103.63,Bottom,270
D24,33.91,103.63,Bottom,90
JP2,89.28,70.36,Bottom,180
JP4,9.14,74.3,Bottom,0
JP9,2.67,44.96,Bottom,90
JP10,86.36,74.93,Bottom,180
JP11,86.36,68.83,Bottom,0
JP12,89.28,68.83,Bottom,0
Q1,85.6,86.36,Bottom,0
Q2,92.71,89.92,Bottom,90
Q3,77.85,89.92,Bottom,90
Q4,72.77,89.92,Bottom,0
R1,19.18,83.69,Bottom,90
R2,17.65,83.69,Bottom,270
R3,8.26,83.69,Bottom,90
R4,6.73,83.69,Bottom,270
R70,61.6,75.18,Bottom,0
R71,25.27,77.09,Bottom,270
R72,3.94,79.88,Bottom,270
R73,23.62,77.09,Bottom,270
R74,3.94,76.96,Bottom,90
R82,40.39,65.91,Bottom,180
R83,16.76,69.34,Bottom,270
R84,22.1,66.55,Bottom,0
R85,19.05,68.58,Bottom,0
R86,25.91,69.34,Bottom,90
R87,19.05,65.28,Bottom,0
R88,20.7,71.76,Bottom,180
R89,17.65,71.76,Bottom,0
R90,3.94,69.34,Bottom,270
R91,9.27,66.42,Bottom,0
R92,6.22,68.58,Bottom,0
R93,13.08,69.34,Bottom,90
R94,6.22,65.41,Bottom,0
R95,8,71.76,Bottom,180
R96,4.95,71.76,Bottom,0
R97,22.35,58.8,Bottom,180
R98,19.69,53.47,Bottom,270
R99,21.72,56.52,Bottom,270
R100,22.48,49.53,Bottom,0
R101,18.54,56.52,Bottom,270
R102,24.89,54.74,Bottom,90
R103,24.89,57.79,Bottom,270
R104,13.34,53.72,Bottom,90
R105,8,56.64,Bottom,180
R106,10.92,54.61,Bottom,180
R107,3.94,53.85,Bottom,270
R108,11.05,57.79,Bottom,180
R109,9.14,51.44,Bottom,0
R110,12.32,51.44,Bottom,180
R111,51.18,62.74,Bottom,270
R112,56.52,59.69,Bottom,0
R113,53.47,61.85,Bottom,0
R114,60.45,62.61,Bottom,90
R115,53.47,58.67,Bottom,0
R116,55.37,65.02,Bottom,180
R117,52.32,65.02,Bottom,0
R118,37.47,60.58,Bottom,270
R119,39.62,63.63,Bottom,270
R120,40.26,56.64,Bottom,0
R121,36.45,63.63,Bottom,270
R122,42.67,61.85,Bottom,90
R123,42.67,64.9,Bottom,270
R131,26.29,98.68,Bottom,0
R132,26.29,93.47,Bottom,180
R133,7.11,45.85,Bottom,270
R134,8.64,45.85,Bottom,270
R141,86.36,70.36,Bottom,180
R142,86.36,73.41,Bottom,0
R143,69.98,85.09,Bottom,90
R144,88.9,85.85,Bottom,180
R145,75.31,86.61,Bottom,270
R146,88.9,87.38,Bottom,0
R147,83.06,88.14,Bottom,90
R148,75.31,89.66,Bottom,270
R149,69.22,90.93,Bottom,0
U16,57.28,74.68,Bottom,180
U17,20.07,78.61,Bottom,0
U18,9.27,78.61,Bottom,0
U19,22.86,69.09,Bottom,90
U20,10.03,69.09,Bottom,90
U21,22.23,52.71,Bottom,0
U22,7.11,54.1,Bottom,270
U23,57.28,62.36,Bottom,90
U29,89.54,65.28,Bottom,270
U30,90.3,79.25,Bottom,180
U31,68.71,88.39,Bottom,270
U32,40.01,59.82,Bottom,0
